name,salary_from,salary_to,salary_currency,area_name,published_at
Сотрудник в творческую мастерскую В.В.В.В.В.,50000,,RUR,Москва,2022-12-27T01:31:51+0300
Senior DevOps Engineer,5000,10000,USD,Москва,2022-12-27T01:29:09+0300
Электромеханик связи,26000,,RUR,Фролово,2022-12-27T01:20:50+0300
Инженер ОПС,130000,150000,RUR,Новый Уренгой,2022-12-27T01:10:26+0300
Middle QA Engineer (manual),,120000,RUR,Москва,2022-12-27T01:10:27+0300
Старший системный администратор,120000,,RUR,Москва,2022-12-27T01:09:52+0300
Слесарь-ремонтник/механик,90000,120000,RUR,Москва,2022-12-27T01:10:25+0300
Слесарь-ремонтник/механик,90000,120000,RUR,Люберцы,2022-12-27T01:10:25+0300
Техник,60000,,RUR,Москва,2022-12-27T01:10:25+0300
Fullstack разработчик PHP/JS,150000,280000,RUR,Москва,2022-12-27T01:55:15+0300
Senior Machine Learning Engineer,4000,5800,EUR,Москва,2022-12-27T01:29:25+0300
"Менеджер проектов (керамогранит, керамическая плитка)",120000,,RUR,Москва,2022-12-27T01:10:53+0300
Сервисный инженер АПС,70000,90000,RUR,Санкт-Петербург,2022-12-27T01:10:54+0300
Электромеханик по лифтам,60000,,RUR,Санкт-Петербург,2022-12-27T01:11:05+0300
Механик по выпуску (Контролер технического состояния автотранспортных средств),55000,65000,RUR,Москва,2022-12-27T01:10:51+0300
Механик (компания по транспортировке отходов / ТКО),51750,51750,RUR,Нижний Новгород,2022-12-27T01:10:56+0300
Frontend-разработчик / Web - программист / Full-Stack developer,80000,,RUR,Иваново (Ивановская область),2022-12-27T02:25:48+0300
Категорийный менеджер,90000,150000,RUR,Хабаровск,2022-12-27T02:53:32+0300
Инженер технической поддержки,,65000,RUR,Хабаровск,2022-12-27T02:08:54+0300
Оператор 3D принтера/печати,50000,,RUR,Владивосток,2022-12-27T02:28:46+0300
Мастер по ремонту цифровой и бытовой техники,30000,,RUR,Хабаровск,2022-12-27T02:53:30+0300
Графический дизайнер,25000,,RUR,Кемерово,2022-12-27T03:49:13+0300
Менеджер по работе с типографиями,40000,50000,RUR,Томск,2022-12-27T03:59:19+0300
Токарь,90000,100000,RUR,Тында,2022-12-27T03:08:05+0300
Проектный менеджер,80000,120000,RUR,Владивосток,2022-12-27T03:19:25+0300
Product manager / Brand manager (одежда),110000,170000,RUR,Москва,2022-12-27T03:13:16+0300
Инженер по сопровождению систем видеонаблюдения,50000,,RUR,Иркутск,2022-12-27T03:36:34+0300
Механик,80000,110000,RUR,Новокузнецк,2022-12-27T03:36:12+0300
Инженер технической поддержки (Новочеркасский б-р),59000,74000,RUR,Москва,2022-12-27T03:18:45+0300
Инженер технической поддержки (улица Красноуральская),48000,60000,RUR,Екатеринбург,2022-12-27T03:19:02+0300
Внедренец 1С (Стажер),40000,80000,RUR,Владивосток,2022-12-27T03:15:57+0300
Механик,80000,110000,RUR,Кемерово,2022-12-27T03:36:12+0300
Менеджер по приемке товара,46000,,RUR,Владивосток,2022-12-27T03:49:22+0300
Инженер технической поддержки,44000,55000,RUR,Новосибирск,2022-12-27T03:18:17+0300
Механик,80000,110000,RUR,Кедровка,2022-12-27T03:36:12+0300
Инженер технической поддержки (Гостилицкое шоссе),53000,67000,RUR,Санкт-Петербург,2022-12-27T03:18:07+0300
Оформитель торгового комплекса (Уральский проспект),29600,33600,RUR,Нижний Тагил,2022-12-27T03:18:24+0300
Электромеханик по средствам автоматики и приборам технологического оборудования,30000,50000,RUR,Красноярск,2022-12-27T03:08:46+0300
Системный администратор,60000,,RUR,Хабаровск,2022-12-27T04:29:26+0300
Junior project manager в web-студию,35000,60000,RUR,Санкт-Петербург,2022-12-27T04:00:37+0300
Главный механик,90000,90000,RUR,Красноярск,2022-12-27T04:52:31+0300
Системный администратор,90000,90000,RUR,Красноярск,2022-12-27T04:30:48+0300
Аналитик,50000,50000,RUR,Барнаул,2022-12-27T04:39:25+0300
